id,date,screen_name,text,username,background_img_url,profile_image,followers_count,friends_count,retweet_count,favorite_count,geo,coordinates,hashtags,type
1389104208574513154,Mon May 03 06:27:06 +0000 2021,ViralSevak,"b'@p4prapti Guj Samachar ne ek anero anukho adbhut ""vikrut"" anand aave che modi and bjp virodhi  articles lkhvama.. !? https://t.co/CtyLiQ0jvG'",Viral Sevak,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1309389434618433536/9Jt8iLj5_normal.jpg,40,746,0,1,,,[],
1388880763421143040,Sun May 02 15:39:12 +0000 2021,Graezex,b'RT @prinkiepuss: :( A 13 year old girl in my city was the youngest death to Covid here. After constantly being told they were too young to?',Graez -- Resistance,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/500088825281282048/RhSEiu5j_normal.png,1387,2257,2,0,,,[],
1388878402271260677,Sun May 02 15:29:49 +0000 2021,BlueHeelerGuy,b'RT @prinkiepuss: :( A 13 year old girl in my city was the youngest death to Covid here. After constantly being told they were too young to?',Blue Heeler Guy,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1372253617412059143/E7-wDZVv_normal.jpg,1252,3916,2,0,,,[],
1388667588360683521,Sun May 02 01:32:07 +0000 2021,inneedofhugsrn,"b'""ueueue ghostbur has been stuck in limbo for months now :(((""\n\nyou fools. you Morons. ghostbur is not dead, he stra? https://t.co/UGqLcK5KK5'",Hugs // *dropkicks you affectionately*,,http://pbs.twimg.com/profile_images/1382789299603701770/DPjF_5Q9_normal.jpg,72,810,0,2,,,[],
1388448519204261888,Sat May 01 11:01:37 +0000 2021,darth_na,"b""And those metrics do have value/usage.\nThey aren't perfect.\nThey aren't complete.\nBut it's better than nothing.\n\nAn? https://t.co/Bw7YHxPjlH""",Lyndon NA (Darth Autocrat),http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1094191539515985920/F_TwGXVH_normal.jpg,2163,281,0,3,,,[],
1387889966403833856,Thu Apr 29 22:02:08 +0000 2021,mmaballer13_,"b'If u have a PS5,I envy u :(\n\nReturnal &amp; Ratchet &amp; Clank, 2 GOTY games within 1 month on PS5?! Goodness.Gaming perfe? https://t.co/TKXaChJndy'",Chris,,http://pbs.twimg.com/profile_images/1330923605568339968/ObyMCC4w_normal.jpg,1595,58,0,5,,,[],
1387823267076059136,Thu Apr 29 17:37:06 +0000 2021,HumbleB86883999,b'@ReallySwara Such a sad thing to witness.Yet some inhuman morons are still cursing @ReallySwara . The least we can? https://t.co/ff9wMBMgtg',Humble Bee,,http://pbs.twimg.com/profile_images/1359045179160805380/18J_n33m_normal.jpg,10,51,0,9,,,[],
1387601262653239296,Thu Apr 29 02:54:56 +0000 2021,parira_kunal,b'@arunbothra @FCSJigarShah This will hit someday very hard to these morons : ( #sadreality #COVID19India',kunal parira,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1326909698923257856/NxLRqMkI_normal.jpg,38,409,0,0,,,"[{'text': 'sadreality', 'indices': [78, 89]}, {'text': 'COVID19India', 'indices': [90, 103]}]",
1387437556011307012,Wed Apr 28 16:04:25 +0000 2021,caitmarielle,b'some of you really wake up every day and decide ?I?m going to pretend like I know what I?m talking about? and end u? https://t.co/J75QHM3Fkc',cait,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1386773814088974341/DV-dqdHQ_normal.jpg,2870,815,0,4,,,[],
1387216764120018952,Wed Apr 28 01:27:04 +0000 2021,sweharris,b'The depressing part of this story is the sheer number of morons who are refusing :-(\n\nSometimes I think the human r? https://t.co/gdIkHYRjVv',Stephen Harris,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/451861256413016064/N1TS3Yub_normal.jpeg,244,147,0,0,,,[],
